"MonthYear","Indicator","Average_Percentage_per_Condition","Average_New_Cases","Cumulative_Cases_EndOfMonth"
"2020-06","Symptoms of Anxiety Disorder",30.5445714285714,25125.4,2606613
"2020-06","Symptoms of Anxiety Disorder or Depressive Disorder",35.3102857142857,25125.4,2606613
"2020-06","Symptoms of Depressive Disorder",24.9908571428571,25125.4,2606613
"2020-07","Symptoms of Anxiety Disorder",34.3361904761905,53035,3853351
"2020-07","Symptoms of Anxiety Disorder or Depressive Disorder",39.072380952381,53035,3853351
"2020-07","Symptoms of Depressive Disorder",27.8647619047619,53035,3853351
"2020-08","Symptoms of Anxiety Disorder",30.71,41033.3146067416,6015379
"2020-08","Symptoms of Anxiety Disorder or Depressive Disorder",35.4728571428571,41033.3146067416,6015379
"2020-08","Symptoms of Depressive Disorder",23.6328571428571,41033.3146067416,6015379
"2020-09","Symptoms of Anxiety Disorder",31.3542857142857,41203,7143131
"2020-09","Symptoms of Anxiety Disorder or Depressive Disorder",35.9435714285714,41203,7143131
"2020-09","Symptoms of Depressive Disorder",24.135,41203,7143131
"2020-10","Symptoms of Anxiety Disorder",32.0207142857143,65198.5,8646946
"2020-10","Symptoms of Anxiety Disorder or Depressive Disorder",36.9642857142857,65198.5,8646946
"2020-10","Symptoms of Depressive Disorder",25.0492857142857,65198.5,8646946
"2020-11","Symptoms of Anxiety Disorder",36.2657142857143,151835.5,12274442
"2020-11","Symptoms of Anxiety Disorder or Depressive Disorder",41.4092857142857,151835.5,12274442
"2020-11","Symptoms of Depressive Disorder",27.7657142857143,151835.5,12274442
"2020-12","Symptoms of Anxiety Disorder",36.025,203932,17732613
"2020-12","Symptoms of Anxiety Disorder or Depressive Disorder",41.4571428571429,203932,17732613
"2020-12","Symptoms of Depressive Disorder",29.3121428571429,203932,17732613
"2021-01","Symptoms of Anxiety Disorder",35.3171428571429,208645.752808989,23738058
"2021-01","Symptoms of Anxiety Disorder or Depressive Disorder",40.5757142857143,208645.752808989,23738058
